signal_id,날짜,종목/티커,테마,신호유형,특이값 요약,upside_score,티어,단계 추정,용어 풀이,출처,출처URL,published_at
SIG-0011,2026-06-07,CoreWeave,AI 인프라,커뮤니티,"무슨 일: AI 인프라 수요에 대한 CoreWeave 관련 시장 의견이 언급되었습니다. ｜ 왜 중요: CoreWeave는 AI 인프라 시장의 주요 플레이어이며, 이 회사에 대한 수요 언급은 AI 산업의 지속적인 성장을 시사하고, GPU 클라우드 시장의 병목 현상과 수혜 기업을 파악하는 데 중요합니다. ｜ 볼 것: CoreWeave의 투자 유치 현황 및 GPU 확보 계획, 그리고 AI 워크로드 증가에 따른 클라우드 서비스 이용률.",8,B,관찰,"AI 인프라: 인공지능 모델 학습 및 운영에 필요한 컴퓨팅 자원(GPU, 서버, 네트워크 등)과 소프트웨어 환경을 제공하는 기반 시설. GPU 클라우드: 고성능 그래픽 처리 장치(GPU)를 클라우드 형태로 제공하여 AI 개발자들이 필요한 만큼 자원을 빌려 쓸 수 있게 하는 서비스.",Google News - AI infrastructure,https://news.google.com/rss/articles/CBMinAFBVV95cUxNeU9ESGt2YWtfdFlfVzN0WVFraEF1bHY1SkpwNnVFWUlyNTRyNlV0Sks1WGVod25oUnRyNXBSM2RNcVFPRlh5eTJ6bHVnNTExRU9jc3BIVzNERjVBQ2xZZUVVTGxScWEzSWlPOXRiQzJ3SHZIN1dSOV9sODNZX1VRMk9mYWhBTm9QU2JLanJsbVhCX0hodUhCX1B6V2g?oc=5,
SIG-0012,2026-06-07,미분류,반도체,기타,"무슨 일: 아직 시장에 잘 알려지지 않은 반도체 관련 기업이 월스트리트의 주요 기업들을 능가하는 뛰어난 성과를 보였다는 기사가 보도되었습니다. ｜ 왜 중요: 시장이 아직 발견하지 못한 소형주가 뛰어난 실적을 보인다면, 이는 향후 큰 주가 상승 잠재력을 가질 수 있는 저평가된 투자 기회일 수 있습니다. ｜ 볼 것: 해당 기업의 구체적인 실적 발표 및 애널리스트 추정치 상향 여부, 그리고 시장 점유율 변화를 확인해야 합니다.",8,B,관찰,미분류: 특정 종목이나 티커를 식별할 수 없을 때 사용합니다. | Lapped: 경쟁자들을 앞질러 뛰어난 성과를 보였다는 의미입니다.,Google News - semiconductor capex,https://news.google.com/rss/articles/CBMiuAFBVV95cUxQVkx1XzJmalMwZ3o3RzhaVWJYOXJTQl84X2VxcUVWLUljaHNjQ0M4dW1lRlg4TzhCZEhnendDQWpzM1Q5a3ZuVC14aEF2VEstNGhGVGo2eklEc0tCeFZpLTJHOElVUXdOMm84UklJY2dSTWwwOGlQT20zeFdTZlV1cjJKZnRVX0tKc1Z4T0hoRjl4bHlPTDFPVm1WVm9HTUtrNFhCbjVFbUJfZG1NWk1JWHZkTFFFb3pT?oc=5,
SIG-0013,2026-06-07,ON Semiconductor,반도체,기타,"무슨 일: AOL.com에서 ON Semiconductor가 2026년 주요 기술주가 될 것이라는 예측 기사가 보도되었습니다. ｜ 왜 중요: 아직 시장에 덜 알려진 ON Semiconductor가 미래에 주요 기술주로 부상할 가능성을 시사하며, 현재 저평가되어 있을 수 있는 투자 기회를 나타냅니다. ｜ 볼 것: 향후 실적 발표에서 가이던스 상향 여부 및 주요 성장 동력(예: 차량용 반도체) 관련 신규 수주 소식.",2,관망,초기,기술주: 기술 혁신을 통해 성장하는 기업의 주식.,Google News - semiconductor capex,https://news.google.com/rss/articles/CBMiiwFBVV95cUxON1ozSkwyWDFiaWRkU212NHRLSkZsb19VUVRzSFVDQ2kzdHJKSnNyZ2xfYVdCWlFpN0RmakhxWUlEaTI5TWhESUFPQnIta1Ayc0JZR1J2RW5LOHlVbGE1ZS04YkVndFdGSWFsM2JqV1BqN3VrU3IyejJFZWd5eldPN1ZmRUpMME5kNG84?oc=5,
SIG-0014,2026-06-07,Broadcom,"반도체, AI",기타,"무슨 일: Broadcom이 실망스러운 AI 관련 사업 전망을 발표하며 반도체 섹터 전반의 주가 하락을 촉발했다. ｜ 왜 중요: 대형 반도체 기업의 부정적 AI 전망은 시장의 AI 투자 심리를 위축시키고, 이는 관련 소형주에도 일시적인 하락 압력을 줄 수 있어 주의 깊은 관찰이 필요하다. ｜ 볼 것: Broadcom의 다음 분기 실적 발표 및 AI 관련 가이던스, 다른 주요 반도체 기업들의 AI 관련 전망 변화.",1,관망,관찰,"AI Outlook: 인공지능 관련 사업 전망, Selloff: 주식 대량 매도",Google News - semiconductor capex,https://news.google.com/rss/articles/CBMipAFBVV95cUxQLTh2SkxLVW03ZHR5NDEyZXExR3RZOEZ4cUJseVJJYVpCRE5uWXItMzdhWE5HUTRJLWVTMmhKRzl2TnpwaHh4eno1UWNfdEJvR2xhNm81QjZlRVhCV0JZSzZjSU5WRlVjOHA0dWN4LXJrZE03Rlp2N1pMLXR6aTZONUZTbHhkQVAxbVZkcDh0LVI0U1lWY2J6dzhLcHBVMENIX0ZaeA?oc=5,
SIG-0015,2026-06-08,xAI,AI 인프라,CAPEX,"무슨 일: xAI가 세계 최초의 기가와트급 데이터센터인 Colossus 2를 건설하고 있으며, Colossus 1은 20만 개의 H100/H200과 3만 개의 GB200 NVL72를 포함한 최대 AI 훈련 클러스터로 운영 중이다. ｜ 왜 중요: xAI의 대규모 데이터센터 건설은 AI 인프라 및 고성능 AI 반도체에 대한 폭발적인 수요를 보여주며, 관련 공급망 기업들에게 큰 수혜가 예상된다. ｜ 볼 것: xAI의 추가적인 데이터센터 구축 계획 및 사용될 AI 반도체 공급업체 정보, 데이터센터 전력 소비량 증가 추이",9,B,초기후반,"기가와트급 데이터센터: 1기가와트(1,000메가와트) 이상의 전력을 소비하는 초대형 데이터센터, GB200 NVL72: 엔비디아의 차세대 AI 칩인 블랙웰(Blackwell) 기반의 고성능 AI 시스템",SemiAnalysis,https://semianalysis.com/2025/09/16/xais-colossus-2-first-gigawatt-datacenter/,
SIG-0016,2026-06-08,Nvidia,AI 가속기,기술로드맵,"무슨 일: Nvidia가 추론의 프리필(prefill) 단계에 최적화된 루빈 CPX(Rubin CPX)라는 전문 가속기 및 랙 솔루션을 발표했으며, 이는 메모리 대역폭보다 컴퓨팅 FLOPS를 강조한다. ｜ 왜 중요: 이 새로운 가속기는 AI 추론 성능을 획기적으로 개선하여, 특정 병목 현상을 해결하고 Nvidia가 AI 시장에서 리더십을 더욱 공고히 할 수 있는 잠재력을 가진다. ｜ 볼 것: 루빈 CPX의 실제 시장 채택률 및 Nvidia의 추론 관련 매출 기여도, 경쟁사들의 유사 솔루션 출시 여부",6,B,초기후반,"프리필(Prefill) 단계: AI 모델 추론 과정 중 초기 단계로, 입력 데이터를 처리하고 모델이 실제 추론을 시작하기 전에 필요한 계산을 수행하는 단계. FLOPS: Floating Point Operations Per Second의 약자로, 컴퓨터가 1초 동안 수행할 수 있는 부동 소수점 연산 횟수를 나타내는 지표.",SemiAnalysis,https://semianalysis.com/2025/09/10/another-giant-leap-the-rubin-cpx-specialized-accelerator-rack/,
SIG-0017,2026-06-09,GRAHAM CORP,산업재,수주/백로그,"무슨 일: Graham Corporation이 2026 회계연도에 기록적인 수주액(3억 5,900만 달러)과 백로그(5억 3,260만 달러, 전년 대비 29% 증가)를 달성했으며, 2027 회계연도에도 지속적인 성장을 예상하는 가이던스를 제시했습니다. ｜ 왜 중요: 기록적인 백로그는 향후 매출 가시성을 높이고, 높은 Book-to-Bill 비율은 강력한 수요를 반영하여 실적 개선 및 주가 상승의 잠재적 촉매가 될 수 있습니다. ｜ 볼 것: 향후 분기별 수주액 및 백로그 추이, FlackTek™ 인수 시너지 및 CAPEX 투자 성과",9,B,초기후반,"백로그(Backlog): 기업이 수주했지만 아직 고객에게 인도하지 않은 주문 잔고. Book-to-Bill: 특정 기간 동안의 수주액을 매출액으로 나눈 비율로, 1보다 크면 수주가 매출보다 많아 미래 성장이 기대됨을 의미.",SEC EDGAR,https://www.sec.gov/Archives/edgar/data/716314/000119312526260670/,2026-06-08
SIG-0018,2026-06-09,THOR INDUSTRIES INC,레저용 차량 (RV),수주/백로그,"무슨 일: THOR INDUSTRIES는 유럽 시장에서 모터홈 및 캠퍼밴 수요가 견조하게 유지되고 있으며, 거시 경제 지표보다 더 회복력 있는 소비자 수요를 반영하는 수주 흐름을 보인다고 언급했습니다. ｜ 왜 중요: 이는 유럽 RV 시장의 예상보다 강한 수요와 잠재적인 가격 결정력 개선을 시사하며, 회사의 특정 사업 부문에서 실적 개선의 초기 신호가 될 수 있습니다. ｜ 볼 것: 향후 유럽 지역의 RV 판매량 및 수주 잔고 변화, 평균 판매 가격(ASP) 추이",6,B,초기,모터홈: 주거 시설을 갖춘 대형 RV. 캠퍼밴: 소형 밴을 개조한 RV.,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/730263/000073026326000019/,2026-06-03
SIG-0019,2026-06-09,IEHC,미분류,수주/백로그,수주/백로그 신호: IEH Corp (IEHC) (CIK 0000050292) EX-99.1 2026-06-08. prioritizing equipment replenishment and readiness; demand for precision - guided munitions accelerating • Commercial Aerosp...,4,관망,초기,"백로그: 이미 받은 주문 잔고로, 향후 매출 가시성을 보여주는 단서다.",SEC EDGAR,https://www.sec.gov/Archives/edgar/data/50292/000117494726000648/,2026-06-08
SIG-0020,2026-06-09,RR,AI 인프라,CAPEX,CAPEX 신호: RICHTECH ROBOTICS INC. (RR) (CIK 0001963685) EX-99.1 2026-06-03. Today’s announcement demonstrates our commitment to making disciplined investments that position us to competiti...,2,관망,관찰,,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/1963685/000121390026064448/,2026-06-03
SIG-0021,2026-06-09,MMED,미분류,CAPEX,"CAPEX 신호: MiniMed Group, Inc. (MMED) (CIK 0002062583) EX-99.1 2026-06-03. “Looking ahead, we’re confident that our launches of MiniMed Flex TM and MiniMed Go TM will support long-term gro...",3,관망,관찰,,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/2062583/000162828026040036/,2026-06-03
SIG-0022,2026-06-09,AURX,미분류,수주/백로그,"수주/백로그 신호: Nuo Therapeutics, Inc. (AURX) (CIK 0001091596) 8-K 2026-06-03. Interest on the Notes will be payable and issued at the Maturity Date (or earlier upon certain prepayments as desc...",3,관망,초기,,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/1091596/000143774926019199/,2026-06-03
SIG-0023,2026-06-09,MGNC,미분류,수주/백로그,"수주/백로그 신호: Mag Magna Corp (MGNC) (CIK 0001949864) 8-K 2026-06-05. Prepayment Optional prepayment prior to default on three days’ prior written notice, as follows: Prepay Date Prepay Amount...",3,관망,초기,,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/1949864/000168316826004573/,2026-06-05
SIG-0024,2026-06-09,MRVI,미분류,수주/백로그,"수주/백로그 신호: MARAVAI LIFESCIENCES HOLDINGS, INC. (MRVI) (CIK 0001823239) EX-10.1 2026-06-03. 88 SECTION 2.05 Letters of Credit 88 SECTION 2.06 Funding of Borrowings 95 SECTION 2.07 Interest...",2,관망,초기,,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/1823239/000182323926000049/,2026-06-03
SIG-0025,2026-06-09,FLEX,미분류,수주/백로그,수주/백로그 신호: FLEX LTD. (FLEX) (CIK 0000866374) EX-10.01 2026-06-02. BANK NATIONAL ASSOCIATION and UNICREDIT BANK GMBH as Co-Documentation Agents TABLE OF CONTENTS Page Article I DEFINITIONS...,1,관망,초기,,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/866374/000110465926069463/,2026-06-02
SIG-0026,2026-06-09,WBD,미분류,수주/백로그,"수주/백로그 신호: Warner Bros. Discovery, Inc. (WBD) (CIK 0001437107) EX-10.1 2026-06-04. THE COMMITMENTS AND CREDIT EXTENSIONS 82 2.01 Commitments 82 2.02 Borrowings, Conversions and Continuatio...",1,관망,초기,,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/1437107/000119312526256559/,2026-06-04
SIG-0027,2026-06-09,NWN,미분류,수주/백로그,"수주/백로그 신호: Northwest Natural Holding Co (NWN) (CIK 0001733998) 8-K 2026-06-05. The Series E Notes, the Series F Notes, and the Series G Notes will be subject to prepayment at the option of...",3,관망,초기,,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/1733998/000173399826000114/,2026-06-05
SIG-0028,2026-06-09,USAR,미분류,수주/백로그,"수주/백로그 신호: USA Rare Earth, Inc. (USAR) (CIK 0001970622) EX-10.2 2026-06-03. No Interest; No Approval of Work 6 Article 3 PAYMENTS; PREPAYMENTS 7 Section 3.1. Prepayments 8 Section 3.3. Del...",2,관망,초기,,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/1970622/000121390026064453/,2026-06-03
SIG-0029,2026-06-09,SDOT,미분류,수주/백로그,수주/백로그 신호: Sadot Group Inc. (SDOT) (CIK 0001701756) EX-10.2 2026-06-03. Prepayment at Option of Maker. The amount payable upon any such prepayment (the “ Prepayment Amount ”) shall be equa...,2,관망,초기,,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/1701756/000173112226000807/,2026-06-03
SIG-0030,2026-06-09,PL,미분류,수주/백로그,"수주/백로그 신호: Planet Labs PBC (PL) (CIK 0001836833) 8-K 2026-06-05. At the Company’s option and subject to certain conditions specified in the applicable Range Forward Sale Agreement, the Com...",3,관망,초기,,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/1836833/000114036126024109/,2026-06-05
SIG-0031,2026-06-09,BJDX,미분류,리드타임,"리드타임 신호: Bluejay Diagnostics, Inc. (BJDX) (CIK 0001704287) EX-10.1 2026-06-02. CONFIDENTIAL | This Quote is Valid Until December 31, 2025 • 6 - 8 weeks for documentation tech transfer (c...",3,관망,초기,리드타임: 주문부터 납품까지 걸리는 시간. 길어지면 공급 부족 신호일 수 있다.,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/1704287/000121390026063767/,2026-06-02
SIG-0032,2026-06-09,RGCO,미분류,수주/백로그,"수주/백로그 신호: RGC RESOURCES INC (RGCO) (CIK 0001069533) EX-10.1 2026-06-04. Government Securities Business Day,” the definition of “Interest Period” or any similar or analogous definition (or...",1,관망,초기,,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/1069533/000143774926019526/,2026-06-04
SIG-0033,2026-06-09,MITI,미분류,수주/백로그,"수주/백로그 신호: Mitesco, Inc. (MITI) (CIK 0000802257) EX-10.1 2026-06-08. , a Nevada corporation (hereinafter called the “Borrower” or the “Company”) (Trading Symbol: MITI), hereby promises to...",2,관망,초기,,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/802257/000118518526002408/,2026-06-08
SIG-0034,2026-06-09,CBLO,미분류,수주/백로그,"수주/백로그 신호: C2 Blockchain, Inc. (CBLO) (CIK 0001882781) EX-10.2 2026-06-02. , a Nevada corporation (hereinafter called the “Borrower” or the “Company”), hereby promises to pay to the order...",2,관망,초기,,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/1882781/000188278126000041/,2026-06-02
SIG-0035,2026-06-09,NWE,미분류,수주/백로그,"수주/백로그 신호: NorthWestern Energy Group, Inc. (NWE) (CIK 0001993004) EX-4.1 2026-06-02. (a) Bonds of the Forty-ninth Series shall be subject to redemption as follows (but shall not otherwise...",2,관망,초기,,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/1993004/000199300426000044/,2026-06-02
SIG-0036,2026-06-09,KKR FS Income Trust,미분류,수주/백로그,수주/백로그 신호: KKR FS Income Trust (CIK 0001930679) EX-10.1 2026-06-03. (a) In connection with the addition of the New Lenders and the increase of Revolving Commitments of certain existing Len...,2,관망,초기,,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/1930679/000110465926069953/,2026-06-03
SIG-0037,2026-06-09,CMPR,미분류,수주/백로그,수주/백로그 신호: CIMPRESS plc (CMPR) (CIK 0001262976) EX-10.1 2026-06-04. 89 SECTION 2.11 Prepayment of Loans........................................................................................,3,관망,초기,,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/1262976/000126297626000020/,2026-06-04
SIG-0038,2026-06-09,DVA,미분류,수주/백로그,수주/백로그 신호: DAVITA INC. (DVA) (CIK 0000927066) EX-10.1 2026-06-08. 68 2.9 Termination or Reduction of Revolving Commitments 69 2.10 Optional Prepayments 69 2.11 Mandatory Prepayments and Co...,2,관망,초기,,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/927066/000120677426000316/,2026-06-08
SIG-0039,2026-06-09,ESE,전력 인프라,수주/백로그,"수주/백로그 신호: ESCO TECHNOLOGIES INC (ESE) (CIK 0000866706) EX-10.1 2026-06-03. Prepayment of Loans 71 Section 2.12. Government Securities Business Day”, the definition of “RFR Business Day”,...",1,관망,초기,,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/866706/000110465926070116/,2026-06-03
